"","Theme","Category","Source","Valence_mean_men","Valence_SD_men","Valence_N_men","Arousal_mean_men","Arousal_SD_men","Arousal_N_men","Valence_mean_women","Valence_SD_women","Valence_N_women","Arousal_mean_women","Arousal_SD_women","Arousal_N_women"
"I565","Nude woman 2","3","Wikipedia","5.01724137931035","1.63826372906715","58","4.09302325581395","1.58585944084366","43","5.53061224489796","1.78070726604542","49","3.94339622641509","1.98470201541327","53"
"I566","Nude woman 3","3","Wikipedia","5.48888888888889","1.56120906267346","45","3.94642857142857","1.57733541549888","56","5.97959183673469","1.45042803909696","49","4.75","1.84576887640301","52"
"I567","Nude woman 4","3","Wikipedia","4.22413793103448","1.40229265219342","58","3.3953488372093","1.32986814390645","43","5.48979591836735","1.59585986461312","49","3.94339622641509","1.71436346495878","53"
"I568","Nude woman 5","3","Wikipedia","6.15909090909091","0.913546165332931","44","4.74137931034483","1.22202513580813","58","5.85106382978723","1.19743790624627","47","4.07692307692308","1.8665912503619","52"
"I569","Nude woman 6","3","Pixabay","5.42222222222222","1.23378370155478","45","4.32142857142857","1.0109786951652","56","5.20408163265306","1.41391288977219","49","3.75","1.70207485838003","52"
"I570","Nude woman 7","3","Pixabay","5.68965517241379","1.25944705984481","58","4.48837209302326","1.09917919643219","43","5.75510204081633","1.36214616575122","49","3.75471698113208","1.70863936395374","53"
"I571","Nude woman 8","3","Pixabay","6.25","0.892475001278454","44","4.70689655172414","1.37660427227437","58","5.70212765957447","1.45833278269669","47","3.94230769230769","1.76472473594755","52"
"I572","Nude woman 9","3","Pixabay","6.47727272727273","0.792072241350478","44","4.24137931034483","1.5594684747615","58","5.85106382978723","1.36698213156248","47","3.73076923076923","1.69330150443359","52"
"I573","Nude woman 10","3","Pixabay","5.87719298245614","1.42766261819046","57","4.11764705882353","1.47847298011874","51","5.42857142857143","1.22474487139159","49","4.94545454545455","1.62638182636115","55"
"I574","Nude woman 11","3","Pixabay","5.89473684210526","1.30499330220388","57","4.3921568627451","1.44330774781471","51","5.22448979591837","1.0852285881027","49","4.63636363636364","1.72523360053964","55"
