timestamps,TP9,AF7,AF8,TP10,Right AUX,Marker0
1596692432.287,-36.133,-23.926,-14.648,-44.434,0.000,0
1596692432.291,-30.762,-16.602,-15.625,-44.434,0.000,0
1596692432.295,-33.203,-9.277,-2.441,-40.039,0.000,0
1596692432.298,-34.668,-13.672,1.465,-31.738,0.000,0
1596692432.302,-25.879,-18.066,-0.977,-22.461,0.000,0
1596692432.306,-24.902,-20.508,3.906,-32.227,0.000,0
1596692432.310,-31.738,-26.367,4.395,-33.203,0.000,0
1596692432.314,-29.785,-28.320,2.441,-15.625,0.000,0
1596692432.318,-28.320,-37.598,4.395,-18.066,0.000,0
1596692432.322,-28.809,-43.945,1.465,-30.273,0.000,0
1596692432.326,-30.273,-38.574,-1.953,-29.297,0.000,0
1596692432.330,-26.855,-35.156,0.000,-19.531,0.000,0
1596692432.334,-26.855,-39.062,-0.488,-20.020,0.000,0
1596692432.338,-36.621,-36.133,-3.418,-41.992,0.000,0
1596692432.341,-33.691,-32.715,1.465,-40.527,0.000,0
1596692432.345,-28.320,-34.668,1.953,-21.484,0.000,0
1596692432.349,-30.273,-36.133,-3.418,-26.855,0.000,0
1596692432.353,-27.344,-32.715,0.977,-35.156,0.000,0
1596692432.357,-20.508,-30.762,6.348,-26.367,0.000,0
1596692432.361,-14.160,-32.227,8.789,-18.555,0.000,0
1596692432.365,-16.602,-26.855,12.695,-22.461,0.000,0
1596692432.369,-29.785,-25.391,10.254,-22.949,0.000,0
1596692432.373,-35.156,-32.227,3.418,-25.879,0.000,0
1596692432.377,-35.645,-39.062,-0.977,-19.531,0.000,0
1596692432.381,-39.551,-37.109,-0.488,-16.113,0.000,0
1596692432.384,-34.180,-26.855,0.977,-25.879,0.000,0
1596692432.388,-30.762,-29.297,-5.371,-34.668,0.000,0
1596692432.392,-32.715,-36.133,-6.836,-31.250,0.000,0
1596692432.396,-27.832,-30.273,-1.465,-15.625,0.000,0
1596692432.400,-22.461,-23.926,0.977,-18.555,0.000,0
1596692432.404,-22.949,-28.320,0.488,-30.273,0.000,0
1596692432.408,-22.949,-28.320,0.977,-27.344,0.000,0
1596692432.412,-20.508,-22.461,-4.395,-16.602,0.000,0
1596692432.416,-23.438,-25.391,-14.160,-21.484,0.000,0
1596692432.420,-26.367,-27.832,-16.602,-34.180,0.000,0
1596692432.423,-24.902,-28.809,-14.648,-32.227,0.000,0
1596692432.427,-10.742,-25.879,-11.719,-20.508,0.000,0
1596692432.431,-4.883,-23.926,-8.789,-15.137,0.000,0
1596692432.435,-14.648,-24.414,-2.441,-22.461,0.000,0
1596692432.439,-12.207,-21.973,-0.488,-27.832,0.000,0
1596692432.443,-13.184,-22.949,-2.441,-17.578,0.000,0
1596692432.447,-17.578,-24.414,-0.488,-13.184,0.000,0
1596692432.451,-5.371,-19.531,0.488,-19.043,0.000,0
1596692432.455,-7.812,-13.672,1.465,-26.855,0.000,0
1596692432.459,-18.066,-12.695,2.930,-24.902,0.000,0
1596692432.463,-8.301,-14.160,2.930,-13.184,0.000,0
1596692432.466,-6.836,-18.555,-1.465,-14.160,0.000,0
1596692432.470,-17.578,-17.090,-2.441,-25.391,0.000,0
1596692432.474,-14.160,-9.766,-0.977,-24.414,0.000,0
1596692432.478,-8.789,-10.742,-5.371,-17.090,0.000,0
1596692432.482,-9.766,-15.137,-11.719,-20.508,0.000,0
1596692432.486,-15.625,-18.066,-11.230,-27.344,0.000,0
1596692432.490,-18.555,-19.043,-8.789,-26.367,0.000,0
